,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,WordL,VERB,NOUN,ADP,.,ADJ,ADV,CONJ,PRON,PRT,NUM,X
Operation Petticoat 1959.txt,0.626150263925,0.83745496617,0.175075449226,0.62687412985,0.6674826716,0.38112259743,0.421453087026,0.80249102739,0.0759643121324,0.957599267132,0.991044081118,0.0169962653597,0.417913979124,0.067922096156,0.33292650235,0.783299946626,0.539253665817,0.869545502437,0.534311700455,0.534419670625,0.772453856624,0.246364288413,0.943327061894,0.0593405462909,0.415371899083,0.282225462689,0.100362223555,0.330643820645,0.472932348368,0.38209043924,15698.0,0.138425277105,3.31226907886,0.185437635368,0.185055421073,0.0559943941903,0.226971588737,0.0405147152504,0.0534462988916,0.0157981908523,0.119633074277,0.0290482864059,0.0107657026373,0.0
Ghosts of Mars 2001.txt,0.385262911585,0.39840370122,0.149215760024,0.617420167049,0.41328117103,0.451183217289,0.357511731729,0.609190594741,0.336177460535,0.627442018443,0.910002522864,0.0507373455084,0.415431545883,0.0779728760731,0.454723199208,0.551772957651,0.59059499919,0.730414382849,0.422962457871,0.687709904056,0.865808729883,0.507217341401,0.939764781419,0.344069077178,0.451360603123,0.358819327178,0.161014989736,0.171102372895,0.471448843666,0.349210322711,7578.0,0.179730799683,3.36830298232,0.207046714173,0.162971760359,0.0727104776986,0.189495909211,0.0344418052257,0.0601741884402,0.0134600158353,0.135787806809,0.0343098442861,0.00818157825284,0.0
Vikramarkudu 2006.txt,0.215206051546,0.17266294382,0.155152634445,0.69338500566,0.247856373512,0.381085011299,0.328100707768,0.490270869268,0.451461214008,0.174455667685,0.866774058153,0.239525946582,0.705567466314,0.3133196973,0.203411472601,0.867375296095,0.595090430184,0.936498638576,0.756527331546,0.769461771622,0.575468095284,0.374697563691,0.743745358617,0.434218840309,0.354404069041,0.613117929253,0.751620030253,0.0177899571397,0.501217885481,0.00975433459275,12346.0,0.1594038555,3.3610076138,0.214806415033,0.211890490847,0.0559695447918,0.185404179491,0.0406609428155,0.0653653005022,0.0132026567309,0.12724769156,0.0312651871051,0.00688482099465,0.0
Quarantine 2008.txt,0.328674300007,0.745103557485,0.119179855744,0.744840843479,0.38755469569,0.138114427655,0.281952830579,0.851572840349,0.193995017439,0.857495381194,0.99000975088,0.0433933488157,0.323422811884,0.147691415301,0.302246572972,0.339862358166,0.682756973463,0.982883187703,0.271296999018,0.370665669263,0.87904301255,0.660403161706,0.586191717941,0.0506126859043,0.45578156751,0.262950758197,0.100995757295,0.0819089670002,0.775385682656,0.113766812227,13212.0,0.0997577959431,2.89562518922,0.186118679988,0.149485316379,0.0490463215259,0.283151680291,0.0279291553134,0.0611565243718,0.00719043293975,0.124205267938,0.0330003027551,0.00522252497729,0.0
Like Dandelion Dust 2009.txt,0.66777753709,0.9367244359,0.136443166028,0.583485761412,0.596473254373,0.0935160312945,0.219302722071,0.848257886035,0.122234504756,0.858356812925,0.998607614659,0.0303033255568,0.616201714725,0.20656168194,0.337900496107,0.824751708796,0.744387169911,0.998527387376,0.772135792349,0.361323602261,0.828303281894,0.610934139575,0.658239644243,0.010452810956,0.539333718497,0.297238439269,0.0458448015098,0.158686487573,0.926994857678,0.0894952493154,11153.0,0.119340087869,2.98574374608,0.194745808303,0.155294539586,0.0436653815117,0.239576795481,0.0393616067426,0.0598941988703,0.0177530709226,0.148749215458,0.0343405361786,0.00546938043576,0.0
Damage 1992.txt,0.852357372854,0.946254944049,0.42206320279,0.124227907481,0.476356003958,0.094270297237,0.222674710288,0.526045028766,0.0935401095089,0.86957903391,0.994853220728,0.243558991129,0.946957124985,0.489240199137,0.577993736314,0.98822239578,0.44554659957,0.98937740271,0.93820409385,0.303086914888,0.444696606338,0.249692803913,0.897377016264,0.136943614756,0.757550994259,0.533195846499,0.0902639145092,0.340072879375,0.729830159029,0.535051169681,6825.0,0.169963369963,3.2380952381,0.221245421245,0.138021978022,0.0591941391941,0.190183150183,0.043663003663,0.0720879120879,0.0108424908425,0.169084249084,0.0306227106227,0.00395604395604,0.0
Yeux sans visage Les House of Dr Rasanoff 1960.txt,0.603027939777,0.819166297326,0.676626101048,0.289271826508,0.391929845705,0.157672827901,0.12504213399,0.261857577485,0.138515853474,0.7560258186,0.993499239597,0.320196876376,0.914064597017,0.575071599646,0.614557606585,0.947503042411,0.079283146589,0.976111021624,0.868234647719,0.319067950577,0.497758250542,0.0147482744022,0.985424322044,0.561182509606,0.805471834364,0.756447621063,0.281403175689,0.0866735339351,0.160317752953,0.590820272767,3291.0,0.275296262534,3.67274384686,0.221209358857,0.177453661501,0.0662412640535,0.124886052871,0.0516560316013,0.0741415982984,0.0121543603768,0.153144940747,0.030385900942,0.00698875721665,0.0
Video Vixens 1975.txt,0.250424693277,0.555433189645,0.384282980139,0.374125762813,0.408775529922,0.255559837523,0.236070808632,0.277688023659,0.348858014124,0.57072325687,0.856396824364,0.245681490281,0.817617962607,0.266160909301,0.767200274118,0.935292777675,0.475906094233,0.605057669004,0.637143027324,0.496446912176,0.896103203072,0.290114649879,0.996336779637,0.779606175537,0.919506329184,0.566241566249,0.285026026767,0.263936424103,0.368801724759,0.970209766668,11389.0,0.187900605848,3.5016243744,0.180964088155,0.199315128633,0.0737553779963,0.170339801563,0.0589164983756,0.0529458249188,0.0205461410133,0.124067082272,0.0288875230486,0.00447800509263,0.0
Revenge of the Green Dragons 2014.txt,0.126234741943,0.181648766015,0.0725990071796,0.645708056094,0.345631521958,0.339203316523,0.280588275674,0.473917928524,0.567754064967,0.203246666439,0.766638112054,0.0714193586574,0.536644036529,0.0760317907517,0.55479077209,0.647787064684,0.785370986884,0.534467129484,0.468781214654,0.783174154704,0.925510454762,0.824992955281,0.963985005065,0.506891370617,0.678114025193,0.346820302037,0.348417516813,0.0712076586689,0.632052834341,0.497548776459,6915.0,0.196384671005,3.3460592914,0.181778741866,0.202313810557,0.0646420824295,0.199276934201,0.0420824295011,0.0503253796095,0.0140274765004,0.126825741142,0.0274765003615,0.00896601590745,0.0
Congorama 2006.txt,0.236401448207,0.395325279445,0.28246268435,0.593064649067,0.312935074697,0.324167645718,0.230309286639,0.380706879893,0.240362615957,0.43450350415,0.646209532302,0.151126742319,0.352096272843,0.292089731729,0.414269416844,0.827497094897,0.426032219169,0.707630809266,0.472612196068,0.629990583177,0.548581372003,0.213274498911,0.949395861122,0.304536894631,0.547167356612,0.591401842322,0.730291831606,0.138416657147,0.178764258696,0.336612653816,7049.0,0.228259327564,3.34685771031,0.173641651298,0.236487445028,0.0567456376791,0.20513548021,0.0441197332955,0.052347850759,0.0151794580792,0.101858419634,0.0367428003972,0.00893743793446,0.0
