Title,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,WordL,VERB,NOUN,ADP,.,ADJ,ADV,CONJ,PRON,PRT,NUM
Barbie and the Diamond Castle,1.23360191666,1.21517525838,-0.260289920135,0.149062173643,-0.646027242739,-0.741932095842,-0.194369395764,0.795189320718,-0.406112489176,0.899932525007,0.611232958234,-0.221438598543,1.45533183524,0.413196250161,-0.596763180957,0.978777619245,0.0879779803804,0.723022475675,1.33519427159,-0.718490941321,0.591950995996,0.275675161019,0.194117451055,0.11924813894,1.45382502852,0.0501957085571,-0.964947888719,0.484932699141,0.916695371155,-0.110457439786,-0.917036003075,-0.0241640672358,0.267515879675,0.99487277081,-0.332231695396,-0.400827990941,-0.829226360852,-0.420647409455,1.44122599522,1.09223004714,0.801280370913,-1.3321698083,0.0402605527661
Ghost in a Teeny Bikini,0.801144297805,0.873914604858,2.15212827284,-1.14128745698,0.168962414052,-0.483355457695,-0.663475803763,-1.0096016053,-0.346215136264,0.299079206918,0.476094068609,1.33865586043,0.656574998737,1.1565698892,0.264549305648,1.03933768976,-1.94036608362,0.572788461622,0.850854941474,-1.03558927811,-0.526524842578,-1.47686379413,1.02793791731,1.68366034581,1.21443640762,1.18349265447,-0.696404611743,0.0629660252761,-1.47977371917,1.35468437959,-1.34089825818,1.58558197461,0.696653603143,0.277779394738,-0.0801134297286,0.221799613703,-0.52628546329,0.568743763818,1.33734096029,0.96140690544,-0.377021682774,0.478946179804,-0.181369820118
Ziggy Stardust and the Spiders from Mars,-2.1990616436,-1.4729981509,0.800665195081,1.74893204569,-2.31382392513,-0.845894675718,-1.23794441917,-2.31835982701,3.79336929961,-1.17239925025,-4.56449304645,1.70934098807,-0.362770970814,0.858911516537,1.30479619919,-0.382159832097,-0.812815856369,-2.11121265161,-2.08075495343,-1.86784893985,0.41579138535,0.371724143374,0.457697414041,3.2332775142,1.53187343927,0.675129801922,1.59695497426,1.13713127347,0.714950604186,2.00490002259,-1.03324793104,0.911884906261,0.856195266339,-1.47900803562,0.933634492312,0.247361452788,-0.207322892989,1.18842644852,-0.470627742787,1.36515342802,-0.818617373541,-0.551849436089,-0.246144480293
Under Suspicion,0.0539828920756,-0.104309023938,-0.152866650366,-0.886275679594,0.0688250491999,-0.334939513345,-0.286922943058,-0.780032378366,-0.757283653462,-0.283380308986,0.391956223141,0.370377777778,1.34537261634,0.192721665626,1.06821654054,1.02631384841,-0.245196431155,0.0169371453477,1.27427592385,0.715637754999,-1.1806216398,-0.772634892296,0.6217699433,-0.108193105177,-0.0169717408796,0.111882296582,0.617242559418,-0.748021309006,-0.462353413324,0.180961753541,0.227962769296,0.187551144836,0.691521730286,0.301171707682,-0.250471620596,0.450423961739,-0.624210741096,0.612909859423,0.822316433748,0.281805205928,0.567404036844,0.0929697654627,-0.10671320516
Confessions of a Teenage Drama Queen,0.565229279222,0.620283591133,0.397904368713,-1.57221474235,-0.508545613207,-0.844628442061,-0.322422309738,-0.390447164366,-0.212865984555,0.211589753012,0.402819039581,1.49564564822,0.981421041176,1.55321714874,1.17406659288,0.745053239661,-0.131364822897,0.627614951554,0.794661901157,-0.631789499047,-0.610899627105,0.135434228577,0.0931359233827,-0.08296740656,0.581322107701,1.15647061586,0.0776103834571,-0.150364448007,0.037611722164,0.671073274801,0.291256765775,-0.428811121921,0.0275790068065,1.12816812023,-0.256750692741,0.706602688338,-1.15710700157,-0.190785465877,0.99104440238,0.133145473201,0.665418196887,1.29122288026,-0.112421482331
Brothers,-0.13572391861,-0.0480673149439,-0.993173977155,-0.341778816052,0.0517099746291,-0.814884661353,-0.218848373279,0.775293359767,0.095764140263,-0.765365686923,0.35919977714,-0.227216030209,0.372285035702,0.0008152022663,0.259182311108,-0.0256586826487,1.63204378097,0.706109928409,0.664238489398,0.0108766549648,-0.52712870025,1.5625565475,-2.60737902346,-1.06353038635,-1.07225213666,-0.105455063304,0.291003887169,-0.858652952806,1.60059847408,-1.60440468963,-0.685649753651,-0.535737171315,-1.17778923034,0.155949477476,-0.454971178008,-1.13085710615,1.4147965726,-0.897825755217,0.0270629796181,-1.13092977646,1.20565984478,-0.601362872673,-0.161892404656
Far from the Madding Crowd,1.62664819122,0.858592035953,0.0746919080018,-0.585920693796,1.64821594431,0.214955414351,0.0510261553497,1.00762421272,-1.33720574325,1.14137023888,0.585162391029,-0.487439435653,0.105041867948,-0.501072137466,-0.940269193527,0.887953294488,-0.761751058047,0.644263183849,0.871521282688,0.502003516498,-1.39620519234,-1.3609534499,0.945453280665,-0.885474360916,-0.144662450822,-0.89871251987,-0.842772006211,-0.585872842914,-0.554030662536,-0.98537480207,1.501365346,-0.888920028252,-0.0423583495962,0.802319293553,-0.0401576733596,-0.445412488762,-0.0148632703454,-0.272970857578,0.296943302251,0.46985662529,-0.0567795848093,-1.04048556768,-0.0949277058222
Operation Petticoat,0.682470233298,0.703524481072,-0.724357734092,0.821785075541,1.71816788849,1.14131225241,1.17100851289,1.36999314109,-1.23555957478,1.36882928854,0.544032007736,-1.09468845446,-1.14940273318,-1.33914084685,-1.01490147285,0.0157653784718,0.16045304134,-0.0775618181603,-0.616056218002,0.538137213512,0.164806243857,-0.657499342071,0.659332515709,-0.976912150057,-1.35781290102,-0.959250123306,-0.63353916263,1.15032127737,-0.674756361801,-0.257542498814,1.38567222129,-0.649437272431,0.248152999305,-0.085867053259,0.0976642460045,-0.237634399611,0.408171472459,-0.117370603164,-0.810828121667,0.0661483628216,-0.571782738028,0.160371532738,0.116882850505
Ghosts of Mars,-0.566025045446,-1.60182023245,-0.878979498198,0.772533667671,-0.0423902009202,1.60108348183,0.730371706436,0.339335019514,0.685529577166,-0.276281832857,-0.197934054479,-0.816028680445,-1.1619986789,-1.28113969559,-0.237082876922,-1.24087087107,0.42678600337,-0.965669691372,-1.17910745429,1.37591782494,0.75277059451,0.445986168215,0.631740103524,0.371979996727,-1.1717574446,-0.509780503635,-0.202978240426,-0.124817733879,-0.682218293683,-0.404326614765,-0.720668973015,0.375978124257,0.486786014293,1.01174430946,-0.327628525178,1.32106632447,-0.753976816009,-0.841410954167,-0.0953277879038,-0.426161943771,0.188583424305,1.34707710041,-0.00124759382551
Quarantine,-0.859318212146,0.218611103537,-1.05857193143,1.43634500669,-0.220567568757,-0.453423352276,0.209675316007,1.63169234401,-0.36416814451,0.870030559429,0.534562323906,-0.876681049894,-1.62885394006,-0.878807182797,-1.21082977146,-2.39103717416,0.904875877203,0.645900272236,-1.94602263151,-0.356831267613,0.836122284068,1.09400746278,-2.10693636323,-1.01826010453,-1.14890181341,-1.0723583227,-0.629041843076,-0.837698261209,0.846564180754,-1.45539854489,0.740799781751,-1.60936292062,-1.52621896877,-0.0512740786959,-0.587353903499,-0.885511391107,2.1503572866,-1.61787912335,0.00914207323912,-1.74624288514,-0.356580082053,1.05171966801,-0.136517505885
