,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,Verb/Noun,Zipf,WordL,Rated,Language,Country,Director,Year,Genre,Runtime,imdbVotes,Actors1,Actors2
Kiss Me Deadly,0.384372459852,0.55826704211,0.182193338223,0.50026534334,0.283807775814,0.177222472345,0.133316361741,0.39348230522,0.249255242864,0.456267909835,0.954379860253,0.100831729002,0.69022221745,0.202458928522,0.534587737605,0.848353337594,0.542011182485,0.862434760646,0.762950307982,0.524355878413,0.624410056958,0.451266795369,0.877938477598,0.286640825405,0.572407581887,0.4234244604,0.292767593811,0.0634906777422,0.576907606876,0.208968389877,10425.0,0.154340527578,0.855599214145,0.921558884902,3.18820143885,APPROVED,"English, Italian, Spanish",USA,Robert Aldrich,1955,"Crime, Film-Noir, Mystery",106,"14,113",Ralph Meeker, Albert Dekker
Underbelly Files: Tell Them Lucifer Was Here,0.284662036434,0.392497173066,0.167940340926,0.460754446492,0.346672462947,0.21330281666,0.216532944171,0.41007307166,0.160456228666,0.617753386755,0.840041241646,0.0608534611946,0.313540983653,0.09990303744,0.570792706294,0.67273423122,0.572923792481,0.701405573797,0.344514286265,0.581254713459,0.604280895729,0.474991156776,0.887583770477,0.148727379633,0.19554949639,0.436297448602,0.374889934908,0.125018368546,0.273112952396,0.390376841787,11880.0,0.180387205387,1.10638297872,0.958002705795,3.37887205387,N/A,English,Australia,Shawn Seet,2011,"Crime, Drama",,229,Brett Climo, Greg Stone
Underclassman,0.20538323052,0.383502750871,0.0395052495427,0.796714693939,0.492354493494,0.450187117545,0.404510918087,0.847543333503,0.467932059098,0.582674814339,0.8328930387,0.0171797187203,0.18950935629,0.0501750355713,0.482529338088,0.263438008556,0.939159212837,0.430335966252,0.204905535393,0.72164772293,0.916020928706,0.914098165421,0.779461994953,0.139074001858,0.400586496448,0.0830535856016,0.165766475417,0.17070824487,0.898063246775,0.240382426147,13416.0,0.154516994633,1.25893635571,0.91402772586,2.97570065593,PG-13,English,USA,Marcos Siega,2005,"Action, Comedy, Crime",95,"4,895",Nick Cannon, Adrian Young
Snow Day,0.463106094961,0.611789728994,0.20288447983,0.820038909915,0.321230884755,0.324488237871,0.146201829564,0.602134803447,0.332757709386,0.578767428575,0.892628449199,0.154472854602,0.526585620776,0.282039425704,0.397201961175,0.555666278759,0.629858198977,0.946357292055,0.580942299438,0.473860102484,0.523923237008,0.679519991996,0.655649753834,0.22924576571,0.488680044668,0.333879445693,0.448311062694,0.0992543314139,0.602357735847,0.137809790852,8711.0,0.174721616347,1.15666456096,0.954550737182,3.18918608656,PG,English,USA,Chris Koch,2000,"Adventure, Comedy, Family",89,"9,346",Chris Elliott, Mark Webber
The Adventures of Robin Hood,0.499133978453,0.586523003312,0.246231801664,0.455965785482,0.552325786052,0.332850158858,0.341124786781,0.452228231962,0.24560364761,0.616922158849,0.970733555214,0.131737017358,0.886132015187,0.204039998982,0.438080814695,0.992303416725,0.52604701377,0.920366244283,0.897652411416,0.540459084038,0.582331909284,0.202583299777,0.98498126633,0.465160744334,0.788151102384,0.515725740505,0.283694930275,0.190157784717,0.553367077007,0.322282468732,12037.0,0.155105092631,1.06147934678,0.939453825844,3.33895488909,PG,English,USA,"Michael Curtiz, William Keighley",1938,"Action, Adventure, Romance",102,"38,945",Errol Flynn, Olivia de Havilland
Sniper 2,0.432906342215,0.431836226737,0.27088104115,0.458320578948,0.408508542087,0.337829388241,0.374121871404,0.428158314171,0.217136374011,0.586991484267,0.872898580512,0.0966931623226,0.559053588259,0.147336300218,0.305008400075,0.857846183648,0.471907874891,0.715495146153,0.593515418797,0.679701184311,0.743534438673,0.22497942851,0.982495302472,0.356781022475,0.61201284757,0.49721198894,0.217407926866,0.192269738494,0.273712763852,0.449487709948,5913.0,0.220700152207,0.968864468864,0.880520123523,3.38271604938,R,"English, Hungarian","USA, Hungary",Craig R. Baxley,2002,"Action, War",91,"4,619",Tom Berenger, Bokeem Woodbine
Kismet,0.507871756108,0.599741604402,0.538206092475,0.478311447889,0.468010603013,0.391682347409,0.317691728116,0.313174703439,0.325945069448,0.591917463933,0.915518221206,0.348808483222,0.929779278614,0.437995559438,0.377258075607,0.99060490022,0.290542554202,0.775854780439,0.90488263992,0.45894242611,0.5119224698,0.0295577908967,0.996794535101,0.875944493038,0.977164072093,0.613695875844,0.38693071123,0.255530701379,0.329415266841,0.537107587261,13798.0,0.17611248007,1.2751185856,0.947308772682,3.4994926801,APPROVED,English,USA,"Vincente Minnelli, Stanley Donen",1955,"Adventure, Musical, Fantasy",113,"1,016",Howard Keel, Ann Blyth
Under the Shadow,0.592406087829,0.677885897952,0.541485379335,0.178978212928,0.3083825486,0.132785442702,0.156592469165,0.355116637102,0.169417961579,0.549450979234,0.980280762753,0.444580651102,0.778388541373,0.658022894671,0.450319535046,0.804380508552,0.254546544691,0.993817612395,0.807764259336,0.385699694453,0.490729354349,0.175467848983,0.688897580028,0.134871326757,0.40524626494,0.810503454204,0.417942227102,0.0386292288406,0.358930818731,0.110227350647,6030.0,0.166334991708,0.683728036669,0.912847504289,3.25538971808,PG-13,Persian,"UK, Jordan, Qatar, Iran",Babak Anvari,2016,"Horror, Thriller",84,511,Narges Rashidi, Avin Manshadi
Snitch,0.438632451292,0.556347554459,0.0813256969279,0.52328217409,0.527720596537,0.341998910424,0.380049716038,0.814158795653,0.242810719056,0.649574048277,0.974175171278,0.0199891342836,0.468407774961,0.0833650278495,0.328838772594,0.574673497115,0.781701781203,0.89046770044,0.559217206701,0.760036572484,0.898504671462,0.631022075102,0.874065691835,0.0498293566813,0.305113919967,0.230914432437,0.0916152481997,0.0900055694709,0.819206728606,0.119656144986,10960.0,0.138229927007,0.765225066196,0.962425296507,3.16678832117,PG-13,"English, Spanish","USA, United Arab Emirates",Ric Roman Waugh,2013,"Action, Drama, Thriller",112,"65,463",Dwayne Johnson, Barry Pepper
Revenge of the Bridesmaids,0.572255361288,0.842648568241,0.524279063002,0.274808648933,0.387166979335,0.059588350561,0.15958912958,0.482554838736,0.123642578619,0.887310550002,0.978865358094,0.269806333067,0.691054037189,0.582453324955,0.733454025572,0.790324837232,0.292890310454,0.974892432112,0.529412684138,0.169669106792,0.566515700018,0.249784589154,0.782944928638,0.102349608576,0.734344064258,0.632472723892,0.221469754312,0.162882492828,0.520620524379,0.714023601164,9925.0,0.182367758186,0.859007832898,0.96984500678,3.24251889169,N/A,English,USA,James Hayman,2010,"Comedy, Romance",95,"4,577",Raven-Symoné, JoAnna Garcia Swisher
