scripts
Ca$h
Caddyshack
Caged
Cairo Time
Caddyshack II
Cable Guy
Caffeine
Caligula
Calendar Girls
Cabin in the sky
Cadaver
Call Girl
C.r.a.z.y
Julius Caesar
Caesar and Cleopatra
Cake
California Solo
Cabaret Desire
C.O.G.
Cafe Society
Cadillac Records
Cabin in the woods
Cabaret
Illustrious Corpses
Cadillac Man
Cahill
Cake Eaters
Calamity Jane
The Dark Knight
The Godfather
Fight Club
The Lord of the Rings The Fellowship of the Ring
Star Wars Episode V - The Empire Strikes Back
The Matrix
The silence of the lambs
