,0
0,0.398279825526
1,0.388479896715
2,0.115156978935
3,0.469036699746
4,0.535783025485
5,0.403007349706
6,0.387388160278
7,0.646006109368
8,0.356035767283
9,0.391217010736
10,0.938136336142
11,0.083837035235
12,0.675310282392
13,0.148114505542
14,0.449130467835
15,0.846806110917
16,0.763718738199
17,0.846784750081
18,0.757490941144
19,0.810912627209
20,0.715099897166
21,0.62792086568
22,0.915812498332
23,0.242245660956
24,0.490616051624
25,0.38987670877
26,0.273843048307
27,0.0869230599128
28,0.750906098732
29,0.137659151668
