,0
0,0.570390637854
1,0.755316330175
2,0.398425075333
3,0.408849516175
4,0.460025998264
5,0.286186104803
6,0.297269353219
7,0.543878985893
8,0.248863987926
9,0.758940276087
10,0.98682429677
11,0.0568620159062
12,0.743045610821
13,0.207509225467
14,0.286130170681
15,0.858210059092
16,0.291295817322
17,0.940188500054
18,0.79582937631
19,0.581769707749
20,0.952551183183
21,0.134702293295
22,0.994310944239
23,0.441239733775
24,0.832521760781
25,0.46725820437
26,0.0526980493189
27,0.170802979027
28,0.404463406679
29,0.616901172314
