,0
0,0.482654101186
1,0.667687694414
2,0.415324112038
3,0.473080085333
4,0.422427689231
5,0.265598501519
6,0.312365672844
7,0.468544151771
8,0.303005181457
9,0.696204860163
10,0.964867154441
11,0.0764867342284
12,0.498390985449
13,0.232837423564
14,0.213741979032
15,0.865053901987
16,0.236319735967
17,0.910927859827
18,0.555553813509
19,0.411965405892
20,0.90538670398
21,0.0923425946789
22,0.991178657709
23,0.569108707
24,0.799772681931
25,0.667209265642
26,0.135467156649
27,0.199090002948
28,0.387604275807
29,0.366293884301
