,0
0,0.416594913816
1,0.395173010656
2,0.247696704341
3,0.360535468414
4,0.477151122716
5,0.332655743055
6,0.293759374459
7,0.497877251581
8,0.285907993437
9,0.519017394039
10,0.958673047831
11,0.0695059584655
12,0.537215593148
13,0.146076602272
14,0.426612034001
15,0.851154702934
16,0.38500804723
17,0.879212928799
18,0.680417309325
19,0.686336545848
20,0.818315214316
21,0.345580067648
22,0.976357693995
23,0.411143770872
24,0.496597476369
25,0.535263745927
26,0.192883186646
27,0.0703131038853
28,0.452625432196
29,0.351561013261
