,0
0,0.661748241506
1,0.619212210769
2,0.580072236524
3,0.369459941348
4,0.388960774399
5,0.24101528893
6,0.279299995791
7,0.255331712494
8,0.323896490412
9,0.707444369079
10,0.907125880853
11,0.214751379537
12,0.79719538964
13,0.312734239269
14,0.402208556162
15,0.981820356658
16,0.157996095383
17,0.954578190893
18,0.84197881304
19,0.365613380156
20,0.608338394299
21,0.0527968759013
22,0.997983023039
23,0.871379853673
24,0.962150405421
25,0.789614281304
26,0.125089879561
27,0.302576397359
28,0.255685779884
29,0.536561432594
