,0
0,0.436061830689
1,0.600663739106
2,0.269436405024
3,0.513139043288
4,0.48344294852
5,0.265332044606
6,0.164555279128
7,0.490112716061
8,0.105620687749
9,0.668906811293
10,0.965228896685
11,0.129527192198
12,0.768659113728
13,0.25065917737
14,0.445652373122
15,0.925034890147
16,0.363675873416
17,0.869709399141
18,0.660306037977
19,0.531407643492
20,0.530053695327
21,0.0884691478037
22,0.952731757101
23,0.235893015129
24,0.570420817262
25,0.460059505188
26,0.446647930142
27,0.0635871098557
28,0.357661181182
29,0.379425191122
