,Dutifulness,Cooperation,Self-consciousness,Orderliness,Achievement striving,Self-efficacy,Activity level,Self-discipline,Excitement-seeking,Cautiousness,Morality,Anxiety,Emotionality,Vulnerability,Immoderation,Sympathy,Friendliness,Modesty,Altruism,Assertiveness,Adventurousness,Gregariousness,Intellect,Imagination,Artistic interests,Depression,Anger,Trust,Cheerfulness,Liberalism,Words,DiversityW,Verb/Noun,Year,Runtime
Cabin in the sky,0.438195427678,0.615381022898,0.0504470309068,0.823145335412,0.345726682416,0.330787959134,0.210778822436,0.665245260207,0.346786651347,0.61507369786,0.954635177532,0.0543159871036,0.75676318259,0.0770569869649,0.456912889796,0.857282421536,0.850645311748,0.881672400815,0.810707455938,0.690698168816,0.606358027669,0.847594000087,0.806763957168,0.267835597865,0.616278071186,0.214648172852,0.212470236319,0.169185729577,0.884281346332,0.111700058927,8186.0,0.183850476423,1.33869047619,1943,98
Cadaver,0.517659495434,0.650912171224,0.351088534909,0.296560291923,0.564954564975,0.535921438361,0.671766453709,0.498188001947,0.173681188779,0.765810142901,0.940045785752,0.277995081281,0.832277887778,0.41613539672,0.264329254433,0.99036636374,0.608886917363,0.904281510274,0.930338274943,0.853747845002,0.669454734225,0.256487159283,0.956552710903,0.363256473018,0.585049775761,0.578909406703,0.254578113554,0.330412029357,0.217046890687,0.519479405369,3067.0,0.279752200848,1.12330623306,2012,8
Cabin Fever,0.050043004857,0.143680842986,0.131738795538,0.765612073666,0.179740436127,0.537821607545,0.120923992452,0.311338859773,0.699643636341,0.109727969645,0.388100631015,0.207125535025,0.165066289117,0.150643379281,0.55495692698,0.428484935141,0.789908148909,0.502192754964,0.254754269423,0.688218951195,0.48232852547,0.932781275128,0.390636760374,0.414643646564,0.255803856655,0.469641181955,0.653300270069,0.0658152257647,0.652077015761,0.109226026636,5124.0,0.285519125683,1.40654608096,2002,93
Call Girl,0.479341452588,0.667758484653,0.0307254531562,0.689660295961,0.684154413906,0.627589966974,0.622270346727,0.869718585765,0.194093137722,0.78020391023,0.97538777379,0.0524033447524,0.574295487977,0.060340709336,0.384211332292,0.818523147227,0.879748265648,0.718761243753,0.788774542189,0.926136665328,0.860647852011,0.744583767334,0.913157762631,0.117701035048,0.490098989603,0.13598122841,0.170128345493,0.249164860366,0.634013887894,0.306390402319,6943.0,0.247011378367,1.29656067489,2012,140
C.r.a.z.y,0.461539759239,0.537024932288,0.180087543801,0.590728767535,0.182810388799,0.175665172997,0.0755014672198,0.274944340464,0.269362233078,0.442213536846,0.859949765288,0.201455575251,0.758009191531,0.312390059064,0.637735712942,0.883353044118,0.58335220222,0.951646099347,0.881961258234,0.632577203775,0.200880341551,0.568658408017,0.752846407016,0.243071176371,0.41991850347,0.55957861179,0.370755521992,0.0593200391064,0.523530051053,0.0461396099396,5300.0,0.278679245283,1.18423236515,2005,75
Julius Caesar,0.639614387903,0.390963341026,0.698873146782,0.541288078334,0.634631943914,0.706618082488,0.360454585742,0.286000114027,0.464250878059,0.691462298849,0.498468550312,0.595785976827,0.905478715828,0.318668820581,0.155985545584,0.996671355621,0.276046930255,0.791354638558,0.964930521957,0.731007104126,0.280237988814,0.0284093500161,0.971850839338,0.849995435488,0.961197702598,0.816065829026,0.487573985097,0.629718028095,0.0654672600758,0.791900947296,2584.0,0.336300309598,2.20437956204,1953,120
Caesar and Cleopatra,0.54721787197,0.624286496532,0.168129200485,0.692079048509,0.546871565262,0.402641367589,0.420018823004,0.711132639497,0.185903393297,0.790740584533,0.966003048868,0.127076194156,0.843632358973,0.129498726158,0.314338222364,0.996228143669,0.555867915504,0.941421751455,0.937082548703,0.731883191105,0.601871611227,0.113909454716,0.997051837533,0.551685942366,0.958182575531,0.424925692318,0.153727004464,0.230255020059,0.415846929562,0.376626326652,15040.0,0.161103723404,1.10233918129,1945,123
Cake,0.593724090126,0.876255169123,0.0819003925163,0.714355427934,0.463518601081,0.230957131508,0.196527660603,0.765048635243,0.147667537567,0.82641385659,0.990046141246,0.0436503048054,0.480760791203,0.168123652753,0.331752861849,0.743977829011,0.707044306802,0.987605605877,0.713224391603,0.597030707576,0.757267072911,0.681109056078,0.660500290098,0.0149802654082,0.417452566324,0.190850367005,0.0878984978465,0.112181191321,0.765266663292,0.0850385876734,5065.0,0.243237907206,1.30545774648,2014,102
Cabin Fever 2,0.086238647587,0.238689104179,0.0501149941757,0.613914675376,0.179836278566,0.259360524279,0.194669101564,0.562458464203,0.699108580045,0.164694816924,0.623993719575,0.160304836062,0.32996917281,0.209875644482,0.535215396817,0.346098548443,0.873011526935,0.88165769789,0.397048532025,0.736684602649,0.793279964136,0.977484629664,0.630403061554,0.127892956547,0.271244976683,0.420846914975,0.429350521135,0.0366938900282,0.825788904582,0.10471924501,5146.0,0.209288767975,1.29437229437,2009,86
California Solo,0.470736820007,0.706082026014,0.0483510612887,0.603923883963,0.334449382424,0.247146746964,0.236671128429,0.625159322372,0.225226698036,0.584991166337,0.906985275761,0.0395930137779,0.39483965406,0.10876829494,0.493729922975,0.718778342247,0.908083533489,0.907641040064,0.600112308611,0.635753227203,0.687444188028,0.881743386825,0.798740159403,0.034782537731,0.287244685238,0.232242675681,0.139813494935,0.271634978504,0.708210249373,0.196064660316,8067.0,0.212718482707,1.43022547227,2012,94
