,0
0,0.308727842773
1,0.463723694141
2,0.317357433799
3,0.292647386074
4,0.397767343332
5,0.365792586791
6,0.330875003381
7,0.328944698403
8,0.454742612187
9,0.345632852518
10,0.866535913255
11,0.236094103798
12,0.734892521253
13,0.344517433158
14,0.652419283435
15,0.885234407472
16,0.587717499915
17,0.765675386448
18,0.698304401792
19,0.571174860043
20,0.821002240129
21,0.476491343421
22,0.967000431834
23,0.504595947121
24,0.699463715184
25,0.64941844042
26,0.268230615371
27,0.188077075712
28,0.492742239533
29,0.730962723366
